industry_category,stock_id,stock_name,type
觀光事業,4804,大略-KY,tpex
文化創意業,4806,昇華,tpex
貿易百貨,4807,日成-KY,twse
通信網路業,4903,聯光通,tpex
通信網路業,4904,遠傳,twse
通信網路業,4905,台聯電,tpex
通信網路業,4906,正文,twse
建材營造,4907,富宇,tpex
通信網路業,4908,前鼎,tpex
通信網路業,4909,新復興,tpex
生技醫療業,4911,德英,tpex
電子零組件業,4912,聯德控股-KY,twse
電子零組件業,4915,致伸,twse
電腦及週邊設備業,4916,事欣科,twse
半導體業,4919,新唐,twse
電腦及週邊設備業,4924,欣厚-KY,tpex
電子零組件業,4927,泰鼎-KY,twse
電器電纜,4930,燦星網,twse
電腦及週邊設備業,4931,新盛力,tpex
光電業,4933,友輝,tpex
光電業,4934,太極,twse
光電業,4935,茂林-KY,twse
電腦及週邊設備業,4938,和碩,twse
電子零組件業,4939,亞電,tpex
光電業,4942,嘉彰,twse
電子零組件業,4943,康控-KY,twse
光電業,4944,兆遠,tpex
半導體業,4945,陞達科技,tpex
文化創意業,4946,辣椒,tpex
其他,4950,牧東,tpex
半導體業,4952,凌通,twse
資訊服務業,4953,緯軟,tpex
光電業,4956,光鋐,twse
電子零組件業,4958,臻鼎-KY,twse
光電業,4960,誠美材,twse
半導體業,4961,天鈺,twse
半導體業,4966,譜瑞-KY,tpex
半導體業,4967,十銓,twse
半導體業,4968,立積,twse
半導體業,4971,IET-KY,tpex
光電業,4972,湯石照明,tpex
半導體業,4973,廣穎,tpex
電子零組件業,4974,亞泰,tpex
光電業,4976,佳凌,twse
通信網路業,4977,眾達-KY,twse
通信網路業,4979,華星光,tpex
通信網路業,4984,科納-KY,twse
電腦及週邊設備業,4987,科誠,tpex
電子零組件業,4989,榮科,twse
半導體業,4991,環宇-KY,tpex
資訊服務業,4994,傳奇,twse
光電業,4995,晶達,tpex
電子零組件業,4999,鑫禾,twse
鋼鐵工業,5007,三星,twse
鋼鐵工業,5009,榮剛,tpex
鋼鐵工業,5011,久陽,tpex
鋼鐵工業,5013,強新,tpex
鋼鐵工業,5014,建錩,tpex
鋼鐵工業,5015,華祺,tpex
鋼鐵工業,5016,松和,tpex
橡膠工業,5102,富強,tpex
資訊服務業,5201,凱衛,tpex
資訊服務業,5202,力新,tpex
資訊服務業,5203,訊連,twse
建材營造,5206,坤悅,tpex
資訊服務業,5209,新鼎,tpex
資訊服務業,5210,寶碩,tpex
資訊服務業,5211,蒙恬,tpex
資訊服務業,5212,凌網,tpex
建材營造,5213,亞昕,tpex
電腦及週邊設備業,5215,科嘉-KY,twse
光電業,5220,萬達光電,tpex
電腦及週邊設備業,5223,安力-KY,tpex
其他電子業,5225,東科-KY,twse
電子零組件業,5227,立凱-KY,tpex
光電業,5230,雷笛克光學,tpex
光電業,5234,達興材料,twse
光電業,5243,乙盛-KY,twse
光電業,5245,智晶,tpex
光電業,5251,天鉞電,tpex
電腦及週邊設備業,5258,虹堡,twse
光電業,5259,奕智博,twse
文化創意業,5263,智崴,tpex
電腦及週邊設備業,5264,鎧勝-KY,twse
半導體業,5269,祥碩,twse
半導體業,5272,笙科,tpex
半導體業,5274,信驊,tpex
其他,5276,達輝-KY,tpex
電子商務業,5278,尚凡,tpex
半導體業,5280,F-敦泰,twse
光電業,5281,大峽谷-KY,tpex
電器電纜,5283,禾聯碩,twse
其他,5284,jpp-KY,twse
半導體業,5285,界霖,twse
電子商務業,5287,數字,tpex
電機機械,5288,豐祥-KY,twse
電腦及週邊設備業,5289,宜鼎,tpex
電子零組件業,5291,邑昇,tpex
半導體業,5299,杰力,tpex
觀光事業,5301,寶得利,tpex
半導體業,5302,太欣,tpex
半導體業,5305,敦南,twse
其他,5306,桂盟,tpex
電子零組件業,5309,系統電,tpex
資訊服務業,5310,天剛,tpex
生技醫療業,5312,寶島科,tpex
半導體業,5314,世紀,tpex
光電業,5315,光聯,tpex
電子零組件業,5321,友銓,tpex
建材營造,5324,士開,tpex
電子零組件業,5328,華容,tpex
電子零組件業,5340,建榮,tpex
半導體業,5344,立衛,tpex
電子零組件業,5345,天揚,tpex
半導體業,5347,世界,tpex
通信網路業,5348,系通,tpex
半導體業,5351,鈺創,tpex
通信網路業,5353,台林,tpex
電子零組件業,5355,佳總,tpex
電腦及週邊設備業,5356,協益,tpex
觀光事業,5364,力麗店,tpex
光電業,5371,中光電,tpex
電子零組件業,5381,合正,tpex
其他電子業,5383,金利,tpex
電腦及週邊設備業,5386,青雲,tpex
通信網路業,5388,中磊,twse
光電業,5392,應華,tpex
其他,5398,慕康生醫,tpex
資訊服務業,5403,中菲,tpex
資訊服務業,5410,國眾,tpex
半導體業,5425,台半,tpex
電腦及週邊設備業,5426,振發,tpex
光電業,5432,達威,tpex
電子通路業,5434,崇越,twse
電腦及週邊設備業,5438,東友,tpex
電子零組件業,5439,高技,tpex
光電業,5443,均豪,tpex
其他,5450,南良,tpex
其他電子業,5452,佶優,tpex
建材營造,5455,昇益,tpex
